newGame;Roll_1;Roll_2
0;11;11
0;11;21
0;11;31
0;11;41
0;11;51
0;11;61
0;11;22
0;11;32
0;11;42
0;11;52
0;11;62
0;11;33
0;11;43
0;11;53
0;11;63
0;11;44
0;11;54
0;11;64
0;11;55
0;11;65
0;11;66
0;21;11
0;21;21
0;21;31
0;21;41
0;21;51
0;21;61
0;21;22
0;21;32
0;21;42
0;21;52
0;21;62
0;21;33
0;21;43
0;21;53
0;21;63
0;21;44
0;21;54
0;21;64
0;21;55
0;21;65
0;21;66
0;31;11
0;31;21
0;31;31
0;31;41
0;31;51
0;31;61
0;31;22
0;31;32
0;31;42
0;31;52
0;31;62
0;31;33
0;31;43
0;31;53
0;31;63
0;31;44
0;31;54
0;31;64
0;31;55
0;31;65
0;31;66
0;41;11
0;41;21
0;41;31
0;41;41
0;41;51
0;41;61
0;41;22
0;41;32
0;41;42
0;41;52
0;41;62
0;41;33
0;41;43
0;41;53
0;41;63
0;41;44
0;41;54
0;41;64
0;41;55
0;41;65
0;41;66
0;51;11
0;51;21
0;51;31
0;51;41
0;51;51
0;51;61
0;51;22
0;51;32
0;51;42
0;51;52
0;51;62
0;51;33
0;51;43
0;51;53
0;51;63
0;51;44
0;51;54
0;51;64
0;51;55
0;51;65
0;51;66
0;61;11
0;61;21
0;61;31
0;61;41
0;61;51
0;61;61
0;61;22
0;61;32
0;61;42
0;61;52
0;61;62
0;61;33
0;61;43
0;61;53
0;61;63
0;61;44
0;61;54
0;61;64
0;61;55
0;61;65
0;61;66
0;22;11
0;22;21
0;22;31
0;22;41
0;22;51
0;22;61
0;22;22
0;22;32
0;22;42
0;22;52
0;22;62
0;22;33
0;22;43
0;22;53
0;22;63
0;22;44
0;22;54
0;22;64
0;22;55
0;22;65
0;22;66
0;32;11
0;32;21
0;32;31
0;32;41
0;32;51
0;32;61
0;32;22
0;32;32
0;32;42
0;32;52
0;32;62
0;32;33
0;32;43
0;32;53
0;32;63
0;32;44
0;32;54
0;32;64
0;32;55
0;32;65
0;32;66
0;42;11
0;42;21
0;42;31
0;42;41
0;42;51
0;42;61
0;42;22
0;42;32
0;42;42
0;42;52
0;42;62
0;42;33
0;42;43
0;42;53
0;42;63
0;42;44
0;42;54
0;42;64
0;42;55
0;42;65
0;42;66
0;52;11
0;52;21
0;52;31
0;52;41
0;52;51
0;52;61
0;52;22
0;52;32
0;52;42
0;52;52
0;52;62
0;52;33
0;52;43
0;52;53
0;52;63
0;52;44
0;52;54
0;52;64
0;52;55
0;52;65
0;52;66
0;62;11
0;62;21
0;62;31
0;62;41
0;62;51
0;62;61
0;62;22
0;62;32
0;62;42
0;62;52
0;62;62
0;62;33
0;62;43
0;62;53
0;62;63
0;62;44
0;62;54
0;62;64
0;62;55
0;62;65
0;62;66
0;33;11
0;33;21
0;33;31
0;33;41
0;33;51
0;33;61
0;33;22
0;33;32
0;33;42
0;33;52
0;33;62
0;33;33
0;33;43
0;33;53
0;33;63
0;33;44
0;33;54
0;33;64
0;33;55
0;33;65
0;33;66
0;43;11
0;43;21
0;43;31
0;43;41
0;43;51
0;43;61
0;43;22
0;43;32
0;43;42
0;43;52
0;43;62
0;43;33
0;43;43
0;43;53
0;43;63
0;43;44
