count;acPlayerID;laPlayerID;newGame;NewValue;RandomValue;LastValue;look
0;0;2;1;11;11;-933935162;0
1;1;0;0;66;54;11;0
2;2;1;0;21;61;66;0
3;0;2;0;21;61;66;1
4;2;1;1;64;64;21;0
5;0;2;0;64;64;21;1
6;0;2;1;31;31;64;0
7;1;0;0;11;11;31;0
8;2;1;0;21;41;11;0
9;0;2;0;21;41;11;1
10;2;1;1;64;64;21;0
11;0;2;0;65;65;64;0
12;1;0;0;66;66;65;0
13;2;1;0;21;51;66;0
14;0;2;0;21;51;66;1
15;2;1;1;62;62;21;0
16;0;2;0;33;42;62;0
17;1;0;0;33;42;62;1
18;0;2;1;44;44;33;0
19;1;0;0;55;52;44;0
20;2;1;0;55;52;44;1
21;1;0;1;65;65;55;0
22;2;1;0;44;61;65;0
23;0;2;0;44;61;65;1
24;2;1;1;43;43;44;0
25;0;2;0;22;22;43;0
26;1;0;0;33;64;22;0
27;2;1;0;33;64;22;1
28;1;0;1;65;65;33;0
29;2;1;0;66;61;65;0
30;0;2;0;66;61;65;1
31;2;1;1;43;43;66;0
32;0;2;0;43;43;66;1
33;0;2;1;54;54;43;0
34;1;0;0;62;62;54;0
35;2;1;0;21;62;62;0
36;0;2;0;21;62;62;1
37;2;1;1;41;41;21;0
38;0;2;0;53;53;41;0
39;1;0;0;61;61;53;0
40;2;1;0;63;41;61;0
41;0;2;0;63;41;61;1
42;2;1;1;61;61;63;0
43;0;2;0;61;61;63;1
44;0;2;1;55;55;61;0
45;1;0;0;21;62;55;0
46;2;1;0;21;62;55;1
47;1;0;1;63;63;21;0
48;2;1;0;21;32;63;0
49;0;2;0;21;32;63;1
50;2;1;1;44;44;21;0
51;0;2;0;44;44;21;1
52;0;2;1;64;64;44;0
53;1;0;0;66;41;64;0
54;2;1;0;66;41;64;1
55;1;0;1;64;64;66;0
56;2;1;0;64;64;66;1
57;2;1;1;42;42;64;0
58;0;2;0;42;42;64;1
59;0;2;1;61;61;42;0
60;1;0;0;61;61;42;1
61;1;0;1;31;31;61;0
62;2;1;0;54;54;31;0
63;0;2;0;62;62;54;0
64;1;0;0;55;62;62;0
65;2;1;0;66;32;55;0
66;0;2;0;21;53;66;0
67;1;0;0;21;53;66;1
68;0;2;1;63;63;21;0
69;1;0;0;64;32;63;0
70;2;1;0;21;21;64;0
71;0;2;0;21;21;64;1
72;0;2;1;63;63;21;0
73;1;0;0;64;53;63;0
74;2;1;0;11;62;64;0
75;0;2;0;11;62;64;1
76;2;1;1;61;61;11;0
77;0;2;0;22;22;61;0
78;1;0;0;22;22;61;1
79;1;0;1;65;65;22;0
80;2;1;0;66;62;65;0
81;0;2;0;21;64;66;0
82;1;0;0;21;64;66;1
83;0;2;1;52;52;21;0
