count;acPlayerID;laPlayerID;newGame;NewValue;RandomValue;LastValue;look
0;0;2;1;11;11;21;1
1;1;0;1;11;11;11;1
2;2;1;1;21;21;11;1
3;0;2;1;63;63;21;1
4;1;0;1;54;54;63;1
5;2;1;1;32;32;54;0
6;0;2;0;62;62;32;0
7;1;0;0;63;62;62;1
8;1;0;1;52;52;63;0
9;2;1;0;63;41;52;1
10;2;1;1;52;52;63;1
11;0;2;1;43;43;52;0
12;1;0;0;51;51;43;1
13;2;1;1;42;42;51;0
14;0;2;0;54;54;42;1
15;1;0;1;55;55;54;0
16;2;1;0;66;41;55;0
17;0;2;0;21;21;66;1
18;1;0;1;31;31;21;0
19;2;1;0;52;52;31;0
20;0;2;0;65;41;52;1
21;0;2;1;41;41;65;0
22;1;0;0;42;42;41;0
23;2;1;0;65;65;42;0
24;0;2;0;55;53;65;0
25;1;0;0;21;42;55;0
26;2;1;1;21;21;21;0
27;0;2;1;65;65;21;0
28;1;0;0;55;53;65;1
29;1;0;1;64;64;55;1
30;2;1;1;21;21;64;0
31;0;2;1;42;42;21;0
32;1;0;0;64;64;42;0
33;2;1;0;44;44;64;0
34;0;2;0;66;31;44;1
35;0;2;1;62;62;66;0
36;1;0;0;65;65;62;0
37;2;1;0;66;65;65;1
38;2;1;1;51;51;66;0
39;0;2;0;64;42;51;1
40;0;2;1;41;41;64;0
41;1;0;0;51;51;41;1
42;2;1;1;54;54;51;1
43;0;2;1;53;53;54;1
44;1;0;1;32;32;53;0
45;2;1;0;33;33;32;1
46;0;2;1;63;63;33;1
47;1;0;1;52;52;63;1
48;2;1;1;32;32;52;0
49;0;2;0;42;31;32;0
50;1;0;0;62;41;42;0
51;2;1;0;55;54;62;1
52;2;1;1;51;51;55;1
53;0;2;1;64;64;51;0
54;1;0;0;66;61;64;1
55;1;0;1;62;62;66;1
56;2;1;1;43;43;62;0
57;0;2;0;52;52;43;1
58;1;0;1;54;54;52;1
59;2;1;1;65;65;54;0
60;0;2;0;44;41;65;0
61;1;0;0;66;11;44;0
62;2;1;0;21;44;66;0
63;0;2;1;41;41;21;0
64;1;0;0;63;63;41;0
65;2;1;0;11;32;63;0
66;0;2;0;44;65;11;0
67;1;0;0;55;42;44;1
68;1;0;1;52;52;55;0
69;2;1;0;54;54;52;0
70;0;2;0;22;53;54;1
71;0;2;1;62;62;22;1
72;1;0;1;21;21;62;1
73;2;1;1;61;61;21;1
74;0;2;1;31;31;61;0
75;1;0;0;62;62;31;1
76;2;1;1;21;21;62;0
77;0;2;1;51;51;21;1
78;1;0;1;31;31;51;0
79;2;1;0;43;43;31;0
80;0;2;0;51;51;43;0
81;1;0;0;65;65;51;0
82;2;1;0;55;52;65;1
83;2;1;1;54;54;55;0
84;0;2;0;62;62;54;0
85;1;0;0;44;51;62;0
86;2;1;0;21;31;44;1
87;2;1;1;51;51;21;0
88;0;2;0;11;11;51;0
89;1;0;0;55;43;11;0
90;2;1;0;21;61;55;1
91;2;1;1;51;51;21;0
92;0;2;0;22;22;51;1
93;1;0;1;41;41;22;0
94;2;1;0;54;54;41;1
95;0;2;1;33;33;54;0
96;1;0;0;44;62;33;1
97;1;0;1;31;31;44;0
98;2;1;0;64;64;31;1
99;0;2;1;41;41;64;0
100;1;0;0;62;62;41;0
101;2;1;0;64;64;62;1
102;0;2;1;51;51;64;0
103;1;0;0;54;54;51;0
104;2;1;0;22;22;54;0
105;0;2;0;21;42;22;1
106;0;2;1;32;32;21;0
107;1;0;0;51;51;32;0
108;2;1;0;52;52;51;1
109;0;2;1;53;53;52;0
110;1;0;0;66;42;53;1
111;1;0;1;43;43;66;0
112;2;1;0;66;42;43;1
113;2;1;1;41;41;66;1
114;0;2;1;31;31;41;0
115;1;0;0;66;66;31;0
116;2;1;0;21;62;66;1
117;2;1;1;42;42;21;0
118;0;2;0;43;43;42;0
119;1;0;0;64;64;43;1
120;2;1;1;53;53;64;0
121;0;2;0;22;22;53;0
122;1;0;0;44;41;22;0
123;2;1;0;55;61;44;0
124;0;2;0;66;54;55;0
125;1;0;0;21;63;66;1
126;1;0;1;55;55;21;0
127;2;1;0;66;31;55;0
128;0;2;0;21;63;66;1
129;0;2;1;11;11;21;0
130;1;0;0;44;51;11;0
131;2;1;0;21;53;44;1
132;2;1;1;42;42;21;0
133;0;2;0;61;61;42;1
134;1;0;1;52;52;61;1
135;2;1;1;53;53;52;1
136;0;2;1;53;53;53;1
137;1;0;1;42;42;53;1
138;2;1;1;31;31;42;0
139;0;2;0;51;51;31;0
140;1;0;0;63;51;51;0
141;2;1;0;21;42;63;1
142;2;1;1;53;53;21;0
143;0;2;0;33;33;53;0
144;1;0;0;21;32;33;0
145;2;1;1;54;54;21;1
146;0;2;1;22;22;54;1
147;1;0;1;41;41;22;1
148;2;1;1;55;55;41;0
149;0;2;0;66;43;55;0
150;1;0;0;21;64;66;1
151;1;0;1;32;32;21;0
152;2;1;0;64;64;32;1
153;0;2;1;32;32;64;0
154;1;0;0;64;64;32;0
155;2;1;0;21;21;64;0
156;0;2;1;63;63;21;1
157;1;0;1;42;42;63;0
158;2;1;0;43;43;42;0
159;0;2;0;54;54;43;0
160;1;0;0;65;41;54;1
161;1;0;1;61;61;65;0
162;2;1;0;66;41;61;1
163;2;1;1;31;31;66;0
164;0;2;0;62;62;31;0
165;1;0;0;11;51;62;1
166;1;0;1;51;51;11;0
167;2;1;0;64;64;51;1
168;0;2;1;52;52;64;0
169;1;0;0;61;61;52;0
170;2;1;0;66;32;61;0
171;0;2;0;21;22;66;1
172;0;2;1;32;32;21;0
173;1;0;0;41;41;32;0
174;2;1;0;64;64;41;1
175;0;2;1;64;64;64;0
176;1;0;0;22;22;64;0
177;2;1;0;55;64;22;0
178;0;2;0;21;21;55;0
179;1;0;1;64;64;21;0
180;2;1;0;65;51;64;0
181;0;2;0;33;31;65;1
182;0;2;1;65;65;33;0
183;1;0;0;22;22;65;1
184;2;1;1;32;32;22;0
185;0;2;0;44;44;32;0
186;1;0;0;21;65;44;1
187;1;0;1;31;31;21;0
188;2;1;0;32;32;31;0
189;0;2;0;21;21;32;1
190;1;0;1;32;32;21;0
191;2;1;0;52;52;32;1
192;0;2;1;42;42;52;0
193;1;0;0;33;31;42;0
194;2;1;0;55;33;33;0
195;0;2;0;66;65;55;0
196;1;0;0;21;44;66;1
197;1;0;1;44;44;21;1
198;2;1;1;43;43;44;0
199;0;2;0;44;44;43;1
200;1;0;1;63;63;44;0
201;2;1;0;21;62;63;0
202;0;2;1;66;66;21;1
203;1;0;1;61;61;66;0
204;2;1;0;65;65;61;1
205;0;2;1;65;65;65;0
206;1;0;0;44;64;65;1
207;1;0;1;52;52;44;1
208;2;1;1;43;43;52;0
209;0;2;0;63;63;43;1
210;1;0;1;54;54;63;0
211;2;1;0;66;31;54;1
212;2;1;1;64;64;66;1
213;0;2;1;43;43;64;1
214;1;0;1;31;31;43;0
215;2;1;0;42;42;31;0
216;0;2;0;63;63;42;1
217;1;0;1;51;51;63;0
218;2;1;0;61;31;51;0
219;0;2;0;63;63;61;0
220;1;0;0;64;31;63;0
221;2;1;0;55;55;64;0
222;0;2;0;21;54;55;1
223;0;2;1;62;62;21;1
224;1;0;1;54;54;62;0
225;2;1;0;66;41;54;0
226;0;2;0;21;51;66;0
227;1;0;1;43;43;21;0
228;2;1;0;66;42;43;1
229;2;1;1;44;44;66;1
230;0;2;1;62;62;44;0
231;1;0;0;33;54;62;0
232;2;1;0;66;61;33;1
233;2;1;1;63;63;66;1
234;0;2;1;32;32;63;1
235;1;0;1;53;53;32;0
236;2;1;0;33;32;53;0
237;0;2;0;66;43;33;1
238;0;2;1;64;64;66;0
239;1;0;0;21;54;64;0
240;2;1;1;53;53;21;0
241;0;2;0;62;41;53;1
242;0;2;1;63;63;62;1
