count;acPlayerID;laPlayerID;newGame;NewValue;RandomValue;LastValue;look
0;0;2;1;11;11;0;0
1;1;0;0;66;54;11;0
2;2;1;0;21;61;66;1
3;2;1;1;64;64;21;1
4;0;2;1;31;31;64;0
5;1;0;0;11;11;31;0
6;2;1;0;21;41;11;1
7;2;1;1;64;64;21;0
8;0;2;0;65;65;64;0
9;1;0;0;66;66;65;0
10;2;1;0;21;51;66;1
11;2;1;1;62;62;21;0
12;0;2;0;33;42;62;1
13;0;2;1;44;44;33;0
14;1;0;0;55;52;44;1
15;1;0;1;65;65;55;0
16;2;1;0;44;61;65;1
17;2;1;1;43;43;44;0
18;0;2;0;22;22;43;0
19;1;0;0;33;64;22;1
20;1;0;1;65;65;33;0
21;2;1;0;66;61;65;1
22;2;1;1;43;43;66;1
23;0;2;1;54;54;43;0
24;1;0;0;62;62;54;0
25;2;1;0;21;62;62;1
26;2;1;1;41;41;21;0
27;0;2;0;53;53;41;0
28;1;0;0;61;61;53;0
29;2;1;0;63;41;61;1
30;2;1;1;61;61;63;1
31;0;2;1;55;55;61;0
32;1;0;0;21;62;55;1
33;1;0;1;63;63;21;0
34;2;1;0;21;32;63;1
35;2;1;1;44;44;21;1
36;0;2;1;64;64;44;0
37;1;0;0;66;41;64;1
38;1;0;1;64;64;66;1
39;2;1;1;42;42;64;1
40;0;2;1;61;61;42;1
41;1;0;1;31;31;61;0
42;2;1;0;54;54;31;0
43;0;2;0;62;62;54;0
44;1;0;0;55;62;62;0
45;2;1;0;66;32;55;0
46;0;2;0;21;53;66;1
47;0;2;1;63;63;21;0
48;1;0;0;64;32;63;0
49;2;1;0;21;21;64;1
50;0;2;1;63;63;21;0
51;1;0;0;64;53;63;0
52;2;1;0;11;62;64;1
53;2;1;1;61;61;11;0
54;0;2;0;22;22;61;1
55;1;0;1;65;65;22;0
56;2;1;0;66;62;65;0
57;0;2;0;21;64;66;0
58;1;0;1;52;52;21;0
59;2;1;0;53;53;52;0
60;0;2;0;22;51;53;0
61;1;0;0;55;55;22;0
62;2;1;0;21;52;55;0
63;0;2;1;51;51;21;0
64;1;0;0;62;32;51;1
65;1;0;1;54;54;62;1
66;2;1;1;41;41;54;0
67;0;2;0;33;33;41;1
68;1;0;1;55;55;33;1
69;2;1;1;53;53;55;1
70;0;2;1;32;32;53;0
71;1;0;0;51;51;32;1
72;2;1;1;62;62;51;1
73;0;2;1;65;65;62;0
74;1;0;0;11;51;65;0
75;2;1;0;55;53;11;1
76;2;1;1;66;66;55;1
77;0;2;1;65;65;66;0
78;1;0;0;44;64;65;1
79;1;0;1;51;51;44;0
80;2;1;0;21;31;51;1
81;2;1;1;44;44;21;0
82;0;2;0;21;21;44;1
83;1;0;1;66;66;21;1
84;2;1;1;41;41;66;0
85;0;2;0;53;53;41;0
86;1;0;0;22;22;53;1
87;2;1;1;41;41;22;0
88;0;2;0;53;53;41;0
89;1;0;0;54;31;53;1
90;1;0;1;65;65;54;0
91;2;1;0;21;21;65;1
92;0;2;1;61;61;21;0
93;1;0;0;66;31;61;1
94;1;0;1;62;62;66;0
95;2;1;0;55;41;62;0
96;0;2;0;21;21;55;0
97;1;0;1;61;61;21;0
98;2;1;0;22;22;61;0
99;0;2;0;44;63;22;1
100;0;2;1;54;54;44;1
