count;acPlayerID;laPlayerID;newGame;NewValue;RandomValue;LastValue;look
0;0;2;0;55;55;42;1
1;1;0;1;64;64;55;1
2;2;1;1;11;11;64;1
3;0;2;1;65;65;11;1
4;1;0;1;65;65;65;1
5;2;1;1;61;61;65;1
6;0;2;1;63;63;61;1
7;1;0;1;63;63;63;1
8;2;1;1;21;21;63;1
9;0;2;1;32;32;21;0
10;1;0;0;33;33;32;1
11;2;1;1;21;21;33;1
12;0;2;1;52;52;21;0
13;1;0;0;62;62;52;1
14;2;1;1;33;33;62;1
15;0;2;1;53;53;33;0
16;1;0;0;66;66;53;1
17;2;1;1;64;64;66;1
18;0;2;1;64;64;64;1
19;1;0;1;31;31;64;0
20;2;1;0;62;62;31;1
21;0;2;1;63;63;62;1
22;1;0;1;21;21;63;1
23;2;1;1;42;42;21;0
24;0;2;0;53;53;42;0
25;1;0;0;11;51;53;1
26;1;0;1;63;63;11;1
27;2;1;1;54;54;63;0
28;0;2;0;21;21;54;1
29;1;0;1;22;22;21;1
30;2;1;1;41;41;22;0
31;0;2;0;65;65;41;1
32;1;0;1;43;43;65;0
33;2;1;0;54;41;43;0
34;0;2;0;66;66;54;1
35;1;0;1;61;61;66;1
36;2;1;1;51;51;61;0
37;0;2;0;21;51;51;1
38;0;2;1;51;51;21;0
39;1;0;0;52;43;51;0
40;2;1;0;63;63;52;1
41;0;2;1;65;65;63;1
42;1;0;1;62;62;65;1
43;2;1;1;43;43;62;0
44;0;2;0;54;54;43;0
45;1;0;0;65;32;54;1
46;1;0;1;62;62;65;1
47;2;1;1;42;42;62;0
48;0;2;0;44;44;42;1
49;1;0;1;21;21;44;1
50;2;1;1;65;65;21;1
51;0;2;1;64;64;65;1
52;1;0;1;41;41;64;0
53;2;1;0;42;42;41;0
54;0;2;0;64;64;42;1
55;1;0;1;62;62;64;1
56;2;1;1;43;43;62;0
57;0;2;0;52;52;43;0
58;1;0;0;11;52;52;1
59;1;0;1;33;33;11;1
60;2;1;1;63;63;33;1
61;0;2;1;32;32;63;0
62;1;0;0;43;43;32;0
63;2;1;0;61;61;43;1
64;0;2;1;53;53;61;0
65;1;0;0;55;55;53;1
66;2;1;1;42;42;55;0
67;0;2;0;55;55;42;1
68;1;0;1;41;41;55;0
69;2;1;0;55;31;41;1
70;2;1;1;64;64;55;1
71;0;2;1;51;51;64;0
72;1;0;0;55;55;51;1
73;2;1;1;62;62;55;1
74;0;2;1;65;65;62;1
75;1;0;1;55;55;65;1
76;2;1;1;11;11;55;1
77;0;2;1;31;31;11;0
78;1;0;0;51;51;31;0
79;2;1;0;33;33;51;1
80;0;2;1;51;51;33;0
81;1;0;0;66;51;51;1
82;1;0;1;52;52;66;0
83;2;1;0;65;52;52;1
84;2;1;1;55;55;65;1
85;0;2;1;55;55;55;1
86;1;0;1;21;21;55;1
87;2;1;1;41;41;21;0
88;0;2;0;51;51;41;0
89;1;0;0;65;51;51;1
90;1;0;1;31;31;65;0
91;2;1;0;41;41;31;0
92;0;2;0;52;41;41;0
93;1;0;0;65;43;52;1
94;1;0;1;21;21;65;1
95;2;1;1;42;42;21;0
96;0;2;0;61;61;42;1
97;1;0;1;53;53;61;0
98;2;1;0;55;55;53;1
99;0;2;1;21;21;55;1
100;1;0;1;53;53;21;0
101;2;1;0;53;52;53;0
102;0;2;0;55;42;53;1
103;0;2;1;63;63;55;1
104;1;0;1;65;65;63;1
105;2;1;1;64;64;65;1
106;0;2;1;21;21;64;1
107;1;0;1;31;31;21;0
108;2;1;0;62;62;31;1
109;0;2;1;61;61;62;1
110;1;0;1;54;54;61;0
111;2;1;0;61;61;54;1
112;0;2;1;33;33;61;1
113;1;0;1;54;54;33;0
114;2;1;0;11;11;54;1
115;0;2;1;64;64;11;1
116;1;0;1;64;64;64;1
117;2;1;1;11;11;64;1
118;0;2;1;63;63;11;1
119;1;0;1;42;42;63;0
120;2;1;0;52;52;42;0
121;0;2;0;21;21;52;1
122;1;0;1;61;61;21;1
123;2;1;1;43;43;61;0
124;0;2;0;61;61;43;1
125;1;0;1;51;51;61;0
126;2;1;0;54;54;51;0
127;0;2;0;11;53;54;1
128;0;2;1;62;62;11;1
129;1;0;1;61;61;62;1
130;2;1;1;54;54;61;0
131;0;2;0;66;66;54;1
132;1;0;1;44;44;66;1
133;2;1;1;63;63;44;1
134;0;2;1;64;64;63;1
135;1;0;1;54;54;64;0
136;2;1;0;65;43;54;1
137;2;1;1;41;41;65;0
138;0;2;0;41;31;41;0
139;1;0;0;33;33;41;1
140;2;1;1;61;61;33;1
141;0;2;1;33;33;61;1
142;1;0;1;42;42;33;0
143;2;1;0;52;42;42;0
144;0;2;0;65;65;52;1
145;1;0;1;33;33;65;1
146;2;1;1;42;42;33;0
147;0;2;0;55;55;42;1
148;1;0;1;63;63;55;1
149;2;1;1;53;53;63;0
150;0;2;0;62;62;53;1
151;1;0;1;41;41;62;0
152;2;1;0;62;62;41;1
153;0;2;1;54;54;62;0
