count;acPlayerID;laPlayerID;newGame;NewValue;RandomValue;LastValue;look
0;0;2;1;31;31;61;0
1;1;0;0;44;44;31;0
2;2;1;0;55;32;44;1
3;2;1;1;41;41;55;0
4;0;2;0;61;61;41;0
5;1;0;0;62;52;61;1
6;1;0;1;32;32;62;0
7;2;1;0;55;55;32;0
8;0;2;0;66;62;55;1
9;0;2;1;41;41;66;0
10;1;0;0;43;43;41;0
11;2;1;0;63;63;43;0
12;0;2;0;65;65;63;1
13;1;0;1;31;31;65;0
14;2;1;0;53;53;31;0
15;0;2;0;54;41;53;1
16;0;2;1;11;11;54;0
17;1;0;0;22;43;11;1
18;1;0;1;64;64;22;0
19;2;1;0;65;61;64;1
20;2;1;1;52;52;65;0
21;0;2;0;54;54;52;1
22;1;0;1;63;63;54;0
23;2;1;0;66;66;63;0
24;0;2;0;21;63;66;1
25;0;2;1;51;51;21;0
26;1;0;0;62;62;51;0
27;2;1;0;64;64;62;0
28;0;2;0;65;64;64;1
29;0;2;1;66;66;65;0
30;1;0;0;21;22;66;1
31;1;0;1;62;62;21;0
32;2;1;0;21;21;62;0
33;0;2;1;22;22;21;0
34;1;0;0;33;53;22;1
35;1;0;1;64;64;33;0
36;2;1;0;21;21;64;0
37;0;2;1;51;51;21;0
38;1;0;0;52;42;51;1
39;1;0;1;44;44;52;0
40;2;1;0;55;41;44;1
41;2;1;1;61;61;55;0
42;0;2;0;62;62;61;1
43;1;0;1;43;43;62;0
44;2;1;0;51;51;43;1
45;0;2;1;42;42;51;0
46;1;0;0;52;52;42;0
47;2;1;0;53;43;52;1
48;2;1;1;54;54;53;0
49;0;2;0;61;53;54;1
50;0;2;1;66;66;61;0
51;1;0;0;21;66;66;1
52;1;0;1;54;54;21;0
53;2;1;0;44;44;54;0
54;0;2;0;55;55;44;1
55;1;0;1;62;62;55;0
56;2;1;0;63;32;62;1
57;2;1;1;52;52;63;0
58;0;2;0;53;52;52;1
59;0;2;1;41;41;53;0
60;1;0;0;42;31;41;1
61;1;0;1;42;42;42;0
62;2;1;0;65;65;42;0
63;0;2;0;11;31;65;1
64;0;2;1;31;31;11;0
65;1;0;0;66;66;31;0
66;2;1;0;21;65;66;1
67;2;1;1;43;43;21;0
68;0;2;0;51;51;43;1
69;1;0;1;52;52;51;0
70;2;1;0;53;31;52;1
71;2;1;1;52;52;53;0
72;0;2;0;61;61;52;0
73;1;0;0;44;44;61;0
74;2;1;0;55;65;44;1
75;2;1;1;44;44;55;0
76;0;2;0;55;51;44;1
77;0;2;1;63;63;55;0
78;1;0;0;64;64;63;1
79;2;1;1;42;42;64;0
80;0;2;0;43;31;42;0
81;1;0;0;61;61;43;0
82;2;1;0;62;31;61;1
83;2;1;1;32;32;62;0
84;0;2;0;53;53;32;0
85;1;0;0;22;22;53;0
86;2;1;0;33;11;22;1
87;2;1;1;66;66;33;0
88;0;2;0;21;21;66;1
89;1;0;1;51;51;21;0
90;2;1;0;44;44;51;0
91;0;2;0;55;32;44;1
92;0;2;1;52;52;55;0
93;1;0;0;53;53;52;1
94;2;1;1;43;43;53;0
95;0;2;0;65;65;43;0
96;1;0;0;11;64;65;1
97;1;0;1;21;21;11;0
98;2;1;1;63;63;21;0
99;0;2;0;64;51;63;1
100;0;2;1;63;63;64;0
101;1;0;0;64;63;63;1
102;1;0;1;31;31;64;0
103;2;1;0;61;61;31;0
104;0;2;0;62;62;61;1
105;1;0;1;63;63;62;0
106;2;1;0;64;31;63;1
107;2;1;1;62;62;64;0
108;0;2;0;63;52;62;1
109;0;2;1;41;41;63;0
110;1;0;0;61;61;41;0
111;2;1;0;62;31;61;1
112;2;1;1;54;54;62;0
113;0;2;0;61;52;54;1
114;0;2;1;61;61;61;0
115;1;0;0;44;44;61;0
116;2;1;0;55;53;44;1
117;2;1;1;54;54;55;0
118;0;2;0;61;43;54;1
119;0;2;1;43;43;61;0
120;1;0;0;51;43;43;1
121;1;0;1;42;42;51;0
122;2;1;0;65;65;42;0
123;0;2;0;33;33;65;0
124;1;0;0;44;65;33;1
125;1;0;1;33;33;44;0
126;2;1;0;44;65;33;1
127;2;1;1;43;43;44;0
128;0;2;0;62;62;43;0
129;1;0;0;63;42;62;1
130;1;0;1;31;31;63;0
131;2;1;0;32;32;31;1
132;0;2;1;11;11;32;0
133;1;0;0;22;41;11;1
134;1;0;1;54;54;22;0
135;2;1;0;61;61;54;1
136;0;2;1;63;63;61;0
137;1;0;0;64;61;63;1
138;1;0;1;44;44;64;0
139;2;1;0;55;42;44;1
140;2;1;1;65;65;55;0
141;0;2;0;44;44;65;0
142;1;0;0;55;52;44;1
143;1;0;1;43;43;55;0
144;2;1;0;55;55;43;0
145;0;2;0;21;21;55;0
146;1;0;1;53;53;21;0
147;2;1;0;61;61;53;0
148;0;2;0;62;43;61;1
149;0;2;1;62;62;62;0
150;1;0;0;22;22;62;0
151;2;1;0;33;32;22;1
152;2;1;1;42;42;33;0
153;0;2;0;43;32;42;1
154;0;2;1;53;53;43;0
155;1;0;0;44;44;53;0
156;2;1;0;55;52;44;1
157;2;1;1;54;54;55;0
158;0;2;0;63;63;54;0
159;1;0;0;64;64;63;1
160;2;1;1;52;52;64;0
161;0;2;0;53;32;52;1
162;0;2;1;42;42;53;0
163;1;0;0;62;62;42;0
164;2;1;0;63;31;62;1
165;2;1;1;53;53;63;0
166;0;2;0;54;51;53;1
167;0;2;1;64;64;54;0
168;1;0;0;65;65;64;1
169;2;1;1;22;22;65;0
170;0;2;0;66;66;22;0
171;1;0;0;21;52;66;1
172;1;0;1;21;21;21;0
173;2;1;1;64;64;21;0
174;0;2;0;65;54;64;1
175;0;2;1;62;62;65;0
176;1;0;0;63;42;62;1
177;1;0;1;11;11;63;0
178;2;1;0;33;33;11;0
179;0;2;0;44;44;33;1
180;1;0;1;61;61;44;0
181;2;1;0;21;21;61;0
182;0;2;1;53;53;21;0
183;1;0;0;62;62;53;0
184;2;1;0;22;22;62;0
185;0;2;0;33;41;22;1
186;0;2;1;65;65;33;0
187;1;0;0;11;52;65;1
188;1;0;1;51;51;11;0
189;2;1;0;22;22;51;0
190;0;2;0;33;41;22;1
191;0;2;1;52;52;33;0
192;1;0;0;22;22;52;0
193;2;1;0;33;43;22;1
194;2;1;1;21;21;33;0
195;0;2;1;63;63;21;0
196;1;0;0;55;55;63;0
197;2;1;0;66;11;55;1
198;2;1;1;11;11;66;0
199;0;2;0;22;62;11;1
200;0;2;1;65;65;22;0
201;1;0;0;44;44;65;0
202;2;1;0;55;43;44;1
203;2;1;1;63;63;55;0
204;0;2;0;64;52;63;1
205;0;2;1;33;33;64;0
206;1;0;0;44;64;33;1
207;1;0;1;52;52;44;0
208;2;1;0;33;33;52;0
209;0;2;0;44;53;33;1
210;0;2;1;21;21;44;0
211;1;0;1;53;53;21;0
212;2;1;0;63;63;53;0
213;0;2;0;55;55;63;0
214;1;0;0;66;51;55;1
215;1;0;1;64;64;66;0
216;2;1;0;65;61;64;1
217;2;1;1;31;31;65;0
218;0;2;0;63;63;31;0
219;1;0;0;44;44;63;0
220;2;1;0;55;65;44;1
221;2;1;1;21;21;55;0
222;0;2;1;61;61;21;0
223;1;0;0;62;41;61;1
224;1;0;1;32;32;62;0
225;2;1;0;21;21;32;0
226;0;2;1;43;43;21;0
227;1;0;0;52;52;43;0
228;2;1;0;53;41;52;1
229;2;1;1;44;44;53;0
230;0;2;0;55;55;44;1
231;1;0;1;62;62;55;0
232;2;1;0;63;42;62;1
233;2;1;1;62;62;63;0
234;0;2;0;63;52;62;1
235;0;2;1;42;42;63;0
236;1;0;0;64;64;42;0
237;2;1;0;65;52;64;1
238;2;1;1;52;52;65;0
239;0;2;0;53;43;52;1
240;0;2;1;43;43;53;0
241;1;0;0;63;63;43;0
242;2;1;0;64;41;63;1
243;2;1;1;51;51;64;0
244;0;2;0;62;62;51;0
245;1;0;0;63;42;62;1
246;1;0;1;63;63;63;0
247;2;1;0;64;43;63;1
248;2;1;1;55;55;64;0
249;0;2;0;66;41;55;1
250;0;2;1;21;21;66;0
251;1;0;1;51;51;21;0
