actual;rolled;former;lier
43;43;62;0
21;21;43;0
21;21;43;0
65;65;21;0
65;65;21;0
51;51;65;0
33;32;51;1
33;32;51;1
54;54;33;0
33;53;54;1
33;53;54;1
54;54;33;0
64;64;54;0
64;64;54;0
64;64;64;0
64;64;64;0
21;21;64;0
21;21;64;0
64;64;21;0
64;64;21;0
61;61;64;0
61;61;64;0
54;54;61;0
61;61;54;0
61;61;54;0
21;21;61;0
21;21;61;0
51;51;21;0
33;33;51;0
33;33;51;0
63;63;33;0
63;63;33;0
21;21;63;0
21;21;63;0
65;65;21;0
65;65;21;0
63;63;65;0
63;63;65;0
22;22;63;0
22;22;63;0
61;61;22;0
61;61;22;0
51;51;61;0
53;53;51;0
64;64;53;0
64;64;53;0
43;43;64;0
55;55;43;0
55;55;43;0
31;31;55;0
62;62;31;0
62;62;31;0
11;11;62;0
11;11;62;0
42;42;11;0
33;33;42;0
33;33;42;0
43;43;33;0
22;22;43;0
22;22;43;0
41;41;22;0
65;65;41;0
65;65;41;0
65;65;65;0
65;65;65;0
31;31;65;0
43;43;31;0
62;31;43;1
62;31;43;1
53;53;62;0
33;31;53;1
33;31;53;1
33;33;33;0
33;33;33;0
61;61;33;0
61;61;33;0
33;33;61;0
33;33;61;0
32;32;33;0
44;44;32;0
44;44;32;0
53;53;44;0
55;31;53;1
55;31;53;1
11;11;55;0
11;11;55;0
43;43;11;0
11;31;43;1
11;31;43;1
44;44;11;0
44;44;11;0
52;52;44;0
54;52;52;1
61;52;54;1
61;52;54;1
42;42;61;0
22;22;42;0
22;22;42;0
54;54;22;0
65;65;54;0
65;65;54;0
55;55;65;0
55;55;65;0
21;21;55;0
21;21;55;0
61;61;21;0
61;61;21;0
54;54;61;0
33;33;54;0
33;33;54;0
44;44;33;0
44;44;33;0
55;55;44;0
55;55;44;0
54;54;55;0
44;44;54;0
44;44;54;0
32;32;44;0
55;55;32;0
55;55;32;0
54;54;55;0
66;66;54;0
66;66;54;0
64;64;66;0
64;64;66;0
21;21;64;0
21;21;64;0
51;51;21;0
21;21;51;0
21;21;51;0
43;43;21;0
33;31;43;1
33;31;43;1
31;31;33;0
42;42;31;0
65;65;42;0
65;65;42;0
32;32;65;0
52;52;32;0
62;32;52;1
62;32;52;1
66;66;62;0
66;66;62;0
64;64;66;0
64;64;66;0
53;53;64;0
63;31;53;1
63;31;53;1
61;61;63;0
61;61;63;0
31;31;61;0
63;63;31;0
63;63;31;0
21;21;63;0
21;21;63;0
44;44;21;0
44;44;21;0
52;52;44;0
11;11;52;0
11;11;52;0
11;11;11;0
11;11;11;0
31;31;11;0
51;51;31;0
65;65;51;0
65;65;51;0
42;42;65;0
43;31;42;1
66;66;43;0
66;66;43;0
43;43;66;0
52;52;43;0
66;43;52;1
66;43;52;1
43;43;66;0
63;63;43;0
63;63;43;0
53;53;63;0
65;32;53;1
65;32;53;1
33;33;65;0
33;33;65;0
63;63;33;0
63;63;33;0
62;62;63;0
62;62;63;0
55;55;62;0
55;55;62;0
61;61;55;0
61;61;55;0
62;62;61;0
62;62;61;0
54;54;62;0
55;55;54;0
55;55;54;0
21;21;55;0
21;21;55;0
63;63;21;0
63;63;21;0
51;51;63;0
54;54;51;0
22;22;54;0
22;22;54;0
64;64;22;0
64;64;22;0
33;33;64;0
33;33;64;0
52;52;33;0
62;31;52;1
62;31;52;1
42;42;62;0
64;31;42;1
64;31;42;1
63;63;64;0
63;63;64;0
64;64;63;0
64;64;63;0
64;64;64;0
64;64;64;0
43;43;64;0
51;41;43;1
64;64;51;0
64;64;51;0
61;61;64;0
61;61;64;0
52;52;61;0
63;63;52;0
63;63;52;0
52;52;63;0
11;11;52;0
11;11;52;0
62;62;11;0
62;62;11;0
51;51;62;0
52;52;51;0
53;53;52;0
22;22;53;0
22;22;53;0
41;41;22;0
21;31;41;1
21;31;41;1
54;54;21;0
61;31;54;1
61;31;54;1
65;65;61;0
65;65;61;0
54;54;65;0
61;61;54;0
61;61;54;0
32;32;61;0
44;44;32;0
44;44;32;0
63;63;44;0
63;63;44;0
32;32;63;0
11;11;32;0
11;11;32;0
41;41;11;0
22;22;41;0
22;22;41;0
53;53;22;0
21;21;53;0
21;21;53;0
43;43;21;0
55;41;43;1
55;41;43;1
65;65;55;0
65;65;55;0
11;11;65;0
11;11;65;0
42;42;11;0
54;31;42;1
64;64;54;0
64;64;54;0
63;63;64;0
63;63;64;0
42;42;63;0
44;44;42;0
44;44;42;0
65;65;44;0
65;65;44;0
51;51;65;0
44;44;51;0
44;44;51;0
42;42;44;0
55;55;42;0
55;55;42;0
42;42;55;0
53;31;42;1
11;11;53;0
11;11;53;0
65;65;11;0
65;65;11;0
32;32;65;0
62;62;32;0
62;62;32;0
63;63;62;0
63;63;62;0
52;52;63;0
66;66;52;0
66;66;52;0
32;32;66;0
41;41;32;0
62;62;41;0
62;62;41;0
53;53;62;0
63;63;53;0
63;63;53;0
51;51;63;0
22;41;51;1
22;41;51;1
42;42;22;0
62;62;42;0
62;62;42;0
54;54;62;0
63;63;54;0
63;63;54;0
51;51;63;0
53;53;51;0
54;54;53;0
33;33;54;0
33;33;54;0
41;41;33;0
54;54;41;0
66;53;54;1
66;53;54;1
42;42;66;0
21;21;42;0
21;21;42;0
44;44;21;0
44;44;21;0
63;63;44;0
63;63;44;0
52;52;63;0
66;66;52;0
66;66;52;0
53;53;66;0
63;63;53;0
63;63;53;0
41;41;63;0
33;33;41;0
33;33;41;0
11;11;33;0
11;11;33;0
51;51;11;0
52;52;51;0
53;41;52;1
62;62;53;0
62;62;53;0
41;41;62;0
65;65;41;0
65;65;41;0
51;51;65;0
66;51;51;1
66;51;51;1
54;54;66;0
22;22;54;0
22;22;54;0
51;51;22;0
52;52;51;0
53;53;52;0
54;31;53;1
63;63;54;0
63;63;54;0
55;55;63;0
55;55;63;0
54;54;55;0
55;55;54;0
55;55;54;0
42;42;55;0
61;61;42;0
61;61;42;0
52;52;61;0
11;11;52;0
11;11;52;0
52;52;11;0
44;44;52;0
44;44;52;0
43;43;44;0
61;43;43;1
61;43;43;1
52;52;61;0
11;11;52;0
11;11;52;0
53;53;11;0
54;54;53;0
54;52;54;1
64;51;54;1
64;51;54;1
43;43;64;0
33;33;43;0
33;33;43;0
64;64;33;0
64;64;33;0
64;64;64;0
64;64;64;0
64;64;64;0
64;64;64;0
31;31;64;0
64;64;31;0
64;64;31;0
54;54;64;0
11;42;54;1
11;42;54;1
42;42;11;0
62;62;42;0
62;62;42;0
21;21;62;0
21;21;62;0
61;61;21;0
61;61;21;0
43;43;61;0
63;63;43;0
63;63;43;0
66;66;63;0
66;66;63;0
33;33;66;0
33;33;66;0
66;66;33;0
66;66;33;0
43;43;66;0
11;11;43;0
11;11;43;0
62;62;11;0
62;62;11;0
43;43;62;0
54;54;43;0
11;52;54;1
11;52;54;1
31;31;11;0
63;63;31;0
63;63;31;0
41;41;63;0
53;53;41;0
64;64;53;0
64;64;53;0
41;41;64;0
65;65;41;0
65;65;41;0
62;62;65;0
62;62;65;0
32;32;62;0
43;43;32;0
53;43;43;1
21;53;53;1
21;53;53;1
43;43;21;0
22;22;43;0
22;22;43;0
32;32;22;0
61;32;32;1
61;32;32;1
51;51;61;0
53;53;51;0
61;32;53;1
61;32;53;1
52;52;61;0
22;22;52;0
22;22;52;0
11;11;22;0
11;11;22;0
33;33;11;0
33;33;11;0
64;64;33;0
64;64;33;0
53;53;64;0
61;61;53;0
61;61;53;0
51;51;61;0
54;54;51;0
63;42;54;1
63;42;54;1
62;62;63;0
62;62;63;0
52;52;62;0
21;21;52;0
21;21;52;0
44;44;21;0
44;44;21;0
11;11;44;0
11;11;44;0
66;66;11;0
66;66;11;0
66;66;66;0
66;66;66;0
44;44;66;0
44;44;66;0
62;62;44;0
62;62;44;0
52;52;62;0
52;32;52;1
63;43;52;1
63;43;52;1
62;62;63;0
62;62;63;0
31;31;62;0
22;22;31;0
22;22;31;0
41;41;22;0
63;63;41;0
63;63;41;0
52;52;63;0
53;31;52;1
65;65;53;0
65;65;53;0
43;43;65;0
44;44;43;0
44;44;43;0
33;33;44;0
33;33;44;0
31;31;33;0
43;43;31;0
64;64;43;0
64;64;43;0
21;21;64;0
21;21;64;0
33;33;21;0
33;33;21;0
41;41;33;0
21;21;41;0
21;21;41;0
52;52;21;0
54;31;52;1
64;52;54;1
64;52;54;1
62;62;64;0
62;62;64;0
62;62;62;0
62;62;62;0
11;11;62;0
11;11;62;0
53;53;11;0
22;22;53;0
22;22;53;0
41;41;22;0
65;65;41;0
65;65;41;0
61;61;65;0
61;61;65;0
42;42;61;0
21;21;42;0
21;21;42;0
32;32;21;0
22;22;32;0
22;22;32;0
53;53;22;0
65;32;53;1
65;32;53;1
31;31;65;0
64;64;31;0
64;64;31;0
61;61;64;0
61;61;64;0
41;41;61;0
64;64;41;0
64;64;41;0
52;52;64;0
22;43;52;1
22;43;52;1
21;21;22;0
21;21;22;0
21;21;21;0
21;21;21;0
53;53;21;0
21;32;53;1
21;32;53;1
43;43;21;0
54;32;43;1
64;42;54;1
64;42;54;1
41;41;64;0
54;54;41;0
63;32;54;1
63;32;54;1
54;54;63;0
61;31;54;1
61;31;54;1
31;31;61;0
62;62;31;0
62;62;31;0
61;61;62;0
61;61;62;0
52;52;61;0
63;41;52;1
63;41;52;1
11;11;63;0
11;11;63;0
44;44;11;0
44;44;11;0
42;42;44;0
53;53;42;0
63;53;53;1
63;53;53;1
62;62;63;0
62;62;63;0
53;53;62;0
54;41;53;1
66;66;54;0
66;66;54;0
41;41;66;0
53;53;41;0
21;21;53;0
21;21;53;0
54;54;21;0
22;22;54;0
22;22;54;0
61;61;22;0
61;61;22;0
31;31;61;0
22;22;31;0
22;22;31;0
42;42;22;0
61;61;42;0
61;61;42;0
64;64;61;0
64;64;61;0
64;64;64;0
64;64;64;0
33;33;64;0
33;33;64;0
33;33;33;0
33;33;33;0
51;51;33;0
62;62;51;0
62;62;51;0
41;41;62;0
53;53;41;0
22;41;53;1
22;41;53;1
65;65;22;0
65;65;22;0
53;53;65;0
64;64;53;0
64;64;53;0
54;54;64;0
33;51;54;1
33;51;54;1
53;53;33;0
21;21;53;0
21;21;53;0
22;22;21;0
22;22;21;0
41;41;22;0
65;32;41;1
65;32;41;1
31;31;65;0
62;62;31;0
62;62;31;0
53;53;62;0
44;51;53;1
44;51;53;1
62;62;44;0
62;62;44;0
54;54;62;0
55;42;54;1
55;42;54;1
66;66;55;0
66;66;55;0
22;22;66;0
22;22;66;0
43;43;22;0
11;11;43;0
11;11;43;0
65;65;11;0
65;65;11;0
11;11;65;0
11;11;65;0
11;11;11;0
11;11;11;0
52;52;11;0
21;21;52;0
21;21;52;0
63;63;21;0
63;63;21;0
54;54;63;0
62;53;54;1
62;53;54;1
11;11;62;0
11;11;62;0
21;21;11;0
21;21;11;0
22;22;21;0
22;22;21;0
21;21;22;0
21;21;22;0
62;62;21;0
62;62;21;0
52;52;62;0
64;64;52;0
64;64;52;0
43;43;64;0
64;64;43;0
64;64;43;0
41;41;64;0
55;55;41;0
