count;acPlayerID;laPlayerID;newGame;NewValue;RandomValue;LastValue;look
0;0;2;1;11;11;1793551196;0
1;1;0;0;22;64;11;0
2;2;1;0;55;55;22;0
3;0;2;0;21;21;55;0
4;1;0;1;66;66;21;0
5;2;1;0;21;61;66;0
6;0;2;1;41;41;21;0
7;1;0;0;42;31;41;0
8;2;1;0;51;51;42;0
9;0;2;0;52;41;51;0
10;1;0;0;53;41;52;0
11;2;1;0;64;64;53;0
12;0;2;0;65;64;64;0
13;1;0;0;11;54;65;0
14;2;1;0;22;63;11;1
15;2;1;1;66;66;22;0
16;0;2;0;21;53;66;1
17;0;2;1;51;51;21;0
18;1;0;0;21;21;51;0
19;2;1;1;61;61;21;0
20;0;2;0;62;42;61;0
21;1;0;0;63;43;62;0
22;2;1;0;44;44;63;0
23;0;2;0;55;62;44;0
24;1;0;0;66;54;55;0
25;2;1;0;21;63;66;1
26;2;1;1;52;52;21;0
27;0;2;0;61;61;52;0
28;1;0;0;62;62;61;1
29;2;1;1;43;43;62;0
30;0;2;0;51;42;43;0
31;1;0;0;52;52;51;1
32;2;1;1;64;64;52;0
33;0;2;0;65;53;64;1
34;0;2;1;65;65;65;0
35;1;0;0;11;65;65;1
36;1;0;1;61;61;11;0
37;2;1;0;62;41;61;0
38;0;2;0;63;43;62;1
39;0;2;1;54;54;63;0
40;1;0;0;61;61;54;0
41;2;1;0;62;32;61;1
42;2;1;1;62;62;62;0
43;0;2;0;63;52;62;1
44;0;2;1;41;41;63;0
45;1;0;0;51;51;41;0
46;2;1;0;63;63;51;0
47;0;2;0;64;61;63;0
48;1;0;0;65;51;64;1
49;1;0;1;43;43;65;0
50;2;1;0;65;65;43;0
51;0;2;0;11;51;65;1
52;0;2;1;55;55;11;0
53;1;0;0;66;63;55;1
54;1;0;1;62;62;66;0
55;2;1;0;63;62;62;1
56;2;1;1;43;43;63;0
57;0;2;0;51;32;43;1
58;0;2;1;32;32;51;0
59;1;0;0;44;44;32;0
60;2;1;0;55;43;44;1
61;2;1;1;65;65;55;0
